LAT,LONG,accX,accY,accZ,gyroX,gyroY,gyroZ,Speed,Timestamp In mills,Timestamp In Date
18.45942389,73.78775482,-2.019784,2.0086117,-0.22719753,1.1773682,0.10397339,0.36813354,10.32,1544974503867,16-Dec-2018
18.45942389,73.78775482,-1.2126534,1.1474419,0.88169193,0.70628357,0.35375977,-0.124053955,10.32,1544974504056,16-Dec-2018
18.45942389,73.78775482,0.6335576,0.5205374,1.4113483,-0.016540527,0.16438293,-0.551239,10.32,1544974504254,16-Dec-2018
18.45942389,73.78775482,1.1470611,-1.0108643,1.6296937,-0.096450806,0.22592163,-0.05506897,10.32,1544974504455,16-Dec-2018
18.45942389,73.78775482,-0.13917196,-0.7009573,-1.2245715,-0.24865723,0.029205322,0.32922363,10.32,1544974504652,16-Dec-2018
18.45942389,73.78775482,0.42465168,0.23434544,-0.91863596,-0.5332794,-0.8594055,-0.118270874,10.32,1544974504853,16-Dec-2018
18.45942389,73.78775482,-0.26680976,0.12174225,-1.5019734,-0.5750427,-0.60472107,-0.08718872,10.32,1544974505051,16-Dec-2018
18.45942389,73.78775482,0.17718247,-0.2361412,-0.8569147,-0.24754333,-0.20002747,0.054153442,10.32,1544974505252,16-Dec-2018
18.45942389,73.78775482,0.45645863,0.16069031,-0.48415098,-0.29244995,-0.1118927,0.25849915,10.32,1544974505451,16-Dec-2018
18.45942389,73.78775482,0.017853796,-0.64752007,-0.22911918,7.6293945E-5,-0.19721985,0.31611633,10.32,1544974505650,16-Dec-2018
18.45942389,73.78775482,-0.46701705,0.14769173,-0.17665571,0.99861145,0.17338562,0.25048828,10.32,1544974505850,16-Dec-2018
18.45942389,73.78775482,1.4875524,1.0170536,1.0309341,0.67837524,0.49887085,-0.4304657,10.32,1544974506050,16-Dec-2018
18.45942389,73.78775482,0.22781235,0.15859127,1.4596215,0.30021667,1.2821655,-0.94636536,10.32,1544974506249,16-Dec-2018
18.45942389,73.78775482,0.84835327,1.2415428,0.9984741,0.40574646,0.6917877,-0.08885193,10.32,1544974506449,16-Dec-2018
18.45942389,73.78775482,-0.37224275,0.2433281,1.0756955,-0.6651001,-0.59536743,0.115997314,10.32,1544974506647,16-Dec-2018
18.45942389,73.78775482,1.3373375,-0.55639267,-0.56460285,-0.58026123,-0.22471619,0.12576294,10.32,1544974506845,16-Dec-2018
18.45942389,73.78775482,0.9058111,-0.54582405,-1.0375128,-0.41485596,0.09094238,0.050048828,10.32,1544974507047,16-Dec-2018
18.45942389,73.78775482,0.3939774,0.3499012,-1.3620303,-0.024505615,-0.12573242,0.060440063,10.32,1544974507246,16-Dec-2018
18.45942389,73.78775482,-0.5006151,-0.20082188,0.69258434,-0.45703125,-0.5184479,0.24475098,10.32,1544974507446,16-Dec-2018
18.45942389,73.78775482,0.64337945,-0.997242,-0.19896469,-0.0521698,-0.6461029,0.36930847,10.32,1544974507644,16-Dec-2018
18.45942389,73.78775482,-1.8906245,0.102705956,1.699177,1.1769104,-0.50961304,0.30075073,10.32,1544974507844,16-Dec-2018
